llicium verum;anyż gwiaździsty|
Schisandra chinensis;cytryniec chiński|
Magnolia officinalis;magnolia lekarska|
Magnolia biondii;magnolia Bionda|
Cimicifuga racemosa;pluskwica groniasta|
Coptis chinensis;złotnica chińska|
Clematis armandii;powojnik Armanda|
Hydrastis canadensis;gorzknik kanadyjski|
Chelidonium majus;glistnik jaskółcze ziele|
Fumaria officinalis;dymnica pospolita|
Papaver somniferum;mak lekarski|
Papaver rhoeas;mak polny|
Corydalis yanhusuo;kokorycz|
Asarum europaeum;kopytnik europejski|
Herniaria glabra;połonicznik nagi|
Saponaria officinalis;mydlnica lekarska|
Achyranthes bidentata;grzebyk dwuzębny|
Fagopyrum esculentum;gryka zwyczajny|
Polygonum multiflora;rdest wielokwiatowy|
Polygonum orientale;rdest wschodni|
Polygonum bistorta;rdest wężownik|
Polygonum aviculare;rdest ptasi|
Polygonum cuspidatum;rdest japoński|
Rheum palmatum;rzewień dłoniasty|
Rheum officinale;rzewień lekarski|
Viscum album;jemioła pospolita|
Quercus robur;dąb szypułkowy|
Quercus petraea;dąb bezszypułkowy|
Quercus pubescens;dąb omszony|
Betula pendula;brzoza brodawkowata|
Betula pubescens;brzoza omszona|
Salix purpurea;wierzba purpurowa|
Salix fragilis;wierzba krucha|
Salix daphnoides;wierzba wawrzynkowa|
Urtica dioica;pokrzywa zwyczajna|
Urtica urens;pokrzywa żegawka|
Humulus lupulus;chmiel zwyczajny|
Agrimonia eupatoria;rzepik pospolity|
Alchemilla vulgaris;przywrotnik pospolity|
Crataegus monogyna;głóg jednoszyjkowy|
Crataegus laevigata;głóg dwuszyjkowy|
Filipendula ulmaria;wiązówka błotna|
Potentilla erecta;pięciornik kurze ziele|
Prunus africana;śliwa afrykańska|
Prunus dulcis;migdałowiec pospolity|
Rosa canina;róża dzika|
Rubus fruticosus;jeżyna fałdowana|
Sanguisorba officinalis;krwiściąg lekarski|
Rhamnus frangula;kruszyna pospolita|
Triticum vulgare;pszenica zwyczajna|
Solanum tuberosum;ziemniak|
Taraxacum officinale;mniszek lekarski|
Ricinus communis;rącznik pospolity|
Allium cepa;cebula zwyczajna|
zebrina pendula;pasiatka zwisła|
atropa belladonna;pokrzyk wilcza jagoda|
datarum stramonium;bieluń dziędzierzawa|
dianthus caryophyllaceae;goździk|
convolvulus arvensis;powój polny|
convallaria majalis;konwalia majowa|
equisetum arvense;skrzyp polny|
althea officinalis;prawoślaz lekarski|
malva sylvesris;ślaz dziki|
tussilago farfara;podbiał pospolity|
artemisia absinthium;bylica piołun|
digitalis purpurea;naparstnica purpurowa|
lavandula officinalis;lawenda lekarska|
matriacaria recutita;rumianek pospolity|
lauris nobilis;wawrzyn szlachetny|
hypericum perforatum;dziurawiec zwyczajny|
levisticum officinale;lubczyk ogrodowy|
foeniculum vulgare;koper włoski|
pimpinella anisum;biedrzeniec anyż|
taraxacum officinale;mniszek pospolity|
